,Rok,Miesiąc,sum_rain
674,2014,3,8094.200000000009
675,2016,1,2705.39999999999
676,2019,10,2645.4999999999995
677,1992,2,8019.900000000046
678,1973,9,5656.400000000003
679,1958,11,3222.399999999995
680,2014,8,15037.200000000039
681,2002,7,14004.800000000014
682,2016,9,3080.299999999999
683,1955,7,10656.500000000004
684,2022,3,1024.9000000000008
685,1994,7,6442.699999999999
686,1994,12,10854.80000000002
687,1974,4,2866.899999999998
688,1959,8,5836.100000000006
689,2011,7,30982.700000000044
690,1988,9,10717.30000000003
691,1996,3,4803.000000000013
692,1995,6,19885.2
693,2000,11,8300.90000000003
694,1955,11,3333.399999999998
695,1951,3,4148.999999999996
696,2008,1,8318.000000000004
697,2013,8,7336.0
698,1988,11,9025.700000000028
699,1975,10,9659.000000000002
700,1954,8,3994.9999999999955
701,1999,9,6344.499999999995
702,1969,7,6242.600000000007
703,1955,9,4903.0999999999985
704,2007,4,2657.700000000002
705,1989,4,12399.200000000046
706,1962,9,12012.10000000003
707,1986,4,5293.7
708,1956,1,3280.599999999998
709,2017,8,6431.800000000006
710,2019,8,5881.90000000001
711,1998,8,11128.200000000006
712,1953,2,2787.099999999997
713,1992,11,9765.10000000005
714,1978,11,4715.4999999999945
715,1953,12,1354.8999999999996
716,2012,4,6987.100000000017
717,1991,8,17694.60000000003
718,1965,2,6854.100000000023
719,1962,2,8687.000000000033
720,1952,1,4177.399999999996
721,2007,2,7089.900000000017
722,2005,7,16675.20000000003
723,2011,6,13460.200000000043
724,2022,9,5094.700000000007
725,1998,5,9443.70000000002
726,1968,4,5614.400000000002
727,2016,10,9213.700000000003
728,1981,9,6837.500000000006
729,1960,11,5303.699999999996
730,2004,3,7964.700000000027
731,1989,7,13502.800000000028
732,1990,12,5763.8
733,1981,10,10799.800000000008
734,1967,6,12471.700000000028
735,1972,1,2653.2999999999865
736,2000,8,8886.10000000001
737,1957,4,3775.999999999995
738,1964,5,7877.400000000009
739,1999,4,11741.000000000011
740,1978,5,9104.39999999999
741,1951,8,4823.900000000002
742,1996,7,18330.299999999996
743,1996,12,3137.099999999989
744,1983,7,8781.899999999981
745,1967,10,6519.100000000024
746,1951,1,3185.599999999997
747,2005,4,5903.400000000007
748,2014,9,10224.600000000055
749,1991,11,10332.00000000008
750,1994,5,14860.400000000074
751,1972,4,8612.400000000014
752,1960,8,12225.100000000017
753,1958,6,10869.800000000036
754,1979,4,6381.999999999993
755,1972,11,5838.1
756,1955,6,6878.9999999999945
757,2007,1,15142.600000000073
758,1992,12,8766.300000000047
759,1967,2,6408.799999999997
760,1969,8,13002.40000000002
761,1955,4,5083.300000000002
762,1954,3,1756.5999999999995
763,1989,1,3049.5999999999813
764,1959,10,2694.8999999999933
765,1957,10,1792.7000000000023
766,1980,12,5082.999999999992
767,1973,5,8767.300000000007
768,1954,10,3528.3999999999987
769,2013,6,21117.300000000032
770,1951,4,2956.2999999999965
771,2005,10,2378.599999999997
772,1991,3,3867.099999999993
773,1962,5,22612.199999999924
774,1968,7,13925.899999999992
775,1958,1,4032.8999999999814
776,2004,4,6497.100000000015
777,1989,12,6190.100000000008
778,1997,12,7712.500000000017
779,1980,3,3242.3999999999983
780,1951,11,3549.9
781,1993,12,10841.700000000046
782,1960,1,4917.099999999997
783,1958,12,5138.499999999991
784,1959,3,2124.099999999997
785,1961,1,4780.099999999984
786,1961,9,5037.300000000004
787,1977,4,8185.099999999992
788,1974,10,21551.70000000006
789,1957,9,10286.50000000002
790,1953,10,1579.0999999999988
791,1986,7,12706.200000000013
792,2015,2,2437.199999999991
793,2022,2,2773.299999999994
794,1992,9,16190.10000000003
795,1964,2,8099.400000000035
796,1964,6,13130.000000000015
797,1997,5,15504.600000000024
798,1968,8,10114.400000000032
799,1951,6,4578.199999999996
800,2009,5,13272.000000000036
801,2017,9,10442.500000000013
802,1979,5,6086.1
803,1978,7,8796.00000000001
804,1974,1,5519.800000000011
805,1965,11,8447.200000000039
806,1983,9,7445.700000000024
807,1980,11,5605.699999999998
808,1966,8,12518.900000000016
809,2002,4,5196.699999999997
810,2003,8,5811.19999999999
811,1991,1,3615.399999999977
812,1982,10,3120.399999999988
813,1969,11,7305.800000000011
814,2017,7,7483.500000000017
815,1955,2,2439.7999999999965
816,2012,2,6692.399999999998
817,2001,10,4458.399999999997
818,2020,2,4562.400000000002
819,1969,2,3365.499999999983
820,1958,2,6276.70000000001
821,2006,3,7883.600000000016
822,1963,5,13708.900000000018
823,1990,1,3753.0999999999676
824,1961,4,5567.400000000008
825,1984,1,5006.900000000001
826,1982,4,5330.200000000004
827,1973,10,5656.599999999995
828,1994,8,16503.600000000046
829,1982,8,7035.500000000009
830,1957,11,2828.699999999999
831,1955,12,6720.000000000014
